Child	Child Id	Mother	Mother Id	Father	Father Id	Pedigree Conflict Score
TMS13F1436P0012	77119	IITA-TMS-IBA980002	68419	IITA-TMS-IBA980002	68419	0.0426162894116601
TMS13F1216P0015	83787	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0357456530439809
TMS13F1307P0020	79823	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0495897629741628
TMS13F1333P0029	86231	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0471911548894917
TMS13F1439P0007	82955	IITA-TMS-IBA980002	68419	IITA-TMS-IBA980002	68419	0.0397229510383778
TMS13F1216P0026	78085	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0342308889580647
TMS13F1309P0001	83763	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.066638502245742
TMS13F1336P0023	77305	IITA-TMS-IBA950306	68333	IITA-TMS-IBA950306	68333	0.0521996042157691
TMS13F1216P0028	87729	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0378413083114688
TMS13F1324P0002	76625	IITA-TMS-MOK940583	71363	IITA-TMS-MOK940583	71363	0.0498982745586338
TMS13F1381P0005	79289	IITA-TMS-IBA000211	67951	IITA-TMS-IBA000211	67951	0.0520995464045894
TMS14F1281P0013	84667	IITA-TMS-IBA011807	67841	IITA-TMS-IBA011807	67841	0.0926563125361319
TMS14F1281P0016	84295	IITA-TMS-IBA011807	67841	IITA-TMS-IBA011807	67841	0.0834843465113176
TMS14F1281P0017	84579	IITA-TMS-IBA011807	67841	IITA-TMS-IBA011807	67841	0.067280539867479
TMS14F1297P0001	78667	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0463351047271757
TMS14F1297P0005	78803	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0459543291679637
TMS14F1297P0007	76651	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0539422777604839
TMS14F1297P0012	77981	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0458514919731401
TMS14F1297P0013	77887	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0465463378841108
TMS14F1297P0016	76659	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0540673500244586
TMS14F1297P0017	77035	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0501206252501445
TMS14F1297P0018	76737	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0527527015609018
TMS14F1297P0019	78501	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0574192866989817
TMS14F1289P0012	84337	IITA-TMS-IBA020540	68115	IITA-TMS-IBA020540	68115	0.0454512607284209
TMS14F1289P0013	84429	IITA-TMS-IBA020540	68115	IITA-TMS-IBA020540	68115	0.0450593676346334
TMS14F1289P0016	84771	IITA-TMS-IBA020540	68115	IITA-TMS-IBA020540	68115	0.0451899986658959
TMS14F1289P0017	84619	IITA-TMS-IBA020540	68115	IITA-TMS-IBA020540	68115	0.0427246853737715
TMS14F1310P0013	78139	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0472106105749989
